Year,Series,Water type,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1987-1991,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1984-1988,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,72.0
1985-1989,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,96.0
1986-1990,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,112.0
1998-2002,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-37.33333333
1999-2003,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-13.33333333
2009-2013,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-36.0
2010-2014,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-9.333333333
2011-2015,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,30.66666667
2012-2016,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,89.33333333
2013-2017,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,145.3333333
2014-2018,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,172.0
2015-2019,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,189.3333333
2016-2020,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,250.6666667
2017-2021,Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,278.6666667
1984-1988,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-41.33333333
1985-1989,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-29.33333333
1986-1990,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-26.0
1998-2002,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-44.66666667
1999-2003,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-28.66666667
2009-2013,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-42.0
2010-2014,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-26.0
2011-2015,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-14.66666667
2012-2016,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-15.33333333
2013-2017,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-10.0
2014-2018,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-20.66666667
2015-2019,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-28.0
2016-2020,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-34.66666667
2017-2021,Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-37.33333333
2001-2005 (baseline),Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,21.04124369
1985-1989,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,11.5615755
1986-1990,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,12.12889379
1998-2002,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,12.95028714
1999-2003,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,5.45333256
2009-2013,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,-1.395092523
2010-2014,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,2.935785138
2011-2015,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,-8.175648239
2012-2016,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,-14.82974651
2013-2017,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,-18.74818725
2014-2018,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,-17.97262022
2015-2019,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,-15.99802773
2016-2020,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,-17.82353965
2017-2021,Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,-14.67138465
1984-1988,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,54.61495845
1985-1989,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,86.43767313
1986-1990,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,87.99050257
1998-2002,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,-18.61337554
1999-2003,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,7.148397309
2009-2013,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,15.06292046
2010-2014,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,43.51879699
2011-2015,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,65.83300356
2012-2016,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,87.0755837
2013-2017,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,126.1068461
2014-2018,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,129.9295607
2015-2019,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,144.9655718
2016-2020,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,175.5377918
2017-2021,Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,206.4313415
1984-1988,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-30.56603774
1985-1989,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-28.79228536
1986-1990,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-28.17210003
1998-2002,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-21.25962934
1999-2003,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-12.91057274
2009-2013,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-8.728368874
2010-2014,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-5.151557441
2011-2015,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-1.195991962
2012-2016,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-0.174165457
2013-2017,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,1.469521045
2014-2018,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,1.923635146
2015-2019,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-0.00641956
2016-2020,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-1.648431394
2017-2021,Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,-3.249134755
2001-2005 (baseline),Open water area,Ephemeral,2060053260 (South Humber),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060053260 (South Humber),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060053260 (South Humber),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,-8.863675287
1985-1989,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,-12.4105155
1986-1990,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,-12.45161843
1998-2002,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,-11.77342011
1999-2003,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,-3.446651824
2009-2013,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,31.76143175
2010-2014,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,31.5011132
2011-2015,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,24.46480562
2012-2016,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,19.08032197
2013-2017,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,11.12262374
2014-2018,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,7.392532968
2015-2019,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,8.317348861
2016-2020,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,7.435348519
2017-2021,Open water area,Ephemeral,2060053270 (North Anglian),% change from baseline,Normal value,Units,12.00205515
1984-1988,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,31.48016277
1985-1989,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,55.96303832
1986-1990,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,61.61919295
1998-2002,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,-10.07629705
1999-2003,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,7.902678874
2009-2013,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,-19.43709732
2010-2014,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,-1.212275348
2011-2015,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,20.10512038
2012-2016,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,34.13869108
2013-2017,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,70.24923703
2014-2018,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,81.85147508
2015-2019,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,87.73312987
2016-2020,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,110.1237708
2017-2021,Open water area,Seasonal,2060053270 (North Anglian),% change from baseline,Normal value,Units,127.6822652
1984-1988,Open water area,Permanent,2060053270 (North Anglian),% change from baseline,Normal value,Units,-23.40190428
1985-1989,Open water area,Permanent,2060053270 (North Anglian),% change from baseline,Normal value,Units,-21.70461421
1986-1990,Open water area,Permanent,2060053270 (North Anglian),% change from baseline,Normal value,Units,-20.77890647
1998-2002,Open water area,Permanent,2060053270 (North Anglian),% change from baseline,Normal value,Units,-17.2665032
1999-2003,Open water area,Permanent,2060053270 (North Anglian),% change from baseline,Normal value,Units,-7.728560966
2009-2013,Open water area,Permanent,2060053270 (North Anglian),% change from baseline,Normal value,Units,-13.16498424
2010-2014,Open water area,Permanent,2060053270 (North Anglian),% change from baseline,Normal value,Units,-12.79463746
2011-2015,Open water area,Permanent,2060053270 (North Anglian),% change from baseline,Normal value,Units,-9.760213992
2012-2016,Open water area,Permanent,2060053270 (North Anglian),% change from baseline,Normal value,Units,-8.862847499
