Year,Region,Local authority,Age,Main method of contraception,Type of contraception,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2020/21,London,Barking and Dagenham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.14
2020/21,London,Barnet,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.51
2020/21,London,Bexley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.17
2020/21,London,Brent,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.525
2020/21,London,Bromley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.21
2020/21,London,Camden,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.35
2020/21,London,Croydon,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.365
2020/21,London,Ealing,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.615
2020/21,London,Enfield,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.105
2020/21,London,Greenwich,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.47
2020/21,London,Hackney,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.205
2020/21,London,Hammersmith and Fulham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.325
2020/21,London,Haringey,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.45
2020/21,London,Harrow,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.295
2020/21,London,Havering,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.09
2020/21,London,Hillingdon,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.345
2020/21,London,Hounslow,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.415
2020/21,London,Islington,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.425
2020/21,London,Kensington and Chelsea,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.235
2020/21,London,Kingston upon Thames,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.195
2020/21,London,Lambeth,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.755
2020/21,London,Lewisham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.825
2020/21,London,Merton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.265
2020/21,London,Newham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.38
2020/21,London,Redbridge,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.155
2020/21,London,Richmond upon Thames,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.14
2020/21,London,Southwark,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.715
2020/21,London,Sutton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.125
2020/21,London,Tower Hamlets,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.445
2020/21,London,Waltham Forest,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.27
2020/21,London,Wandsworth,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.55
2020/21,London,Westminster,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.29
2020/21,South East,Bracknell Forest,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.05
2020/21,South East,Brighton and Hove,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.33
2020/21,South East,Buckinghamshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.505
2020/21,South East,East Sussex,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.34
2020/21,South East,Hampshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.51
2020/21,South East,Isle of Wight,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.06
2020/21,South East,Kent,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.65
2020/21,South East,Medway,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.33
2020/21,South East,Milton Keynes,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.135
2020/21,South East,Oxfordshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.575
2020/21,South East,Portsmouth,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.21
2020/21,South East,Reading,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.08
2020/21,South East,Slough,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.19
2020/21,South East,Southampton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.155
2020/21,South East,Surrey,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.49
2020/21,South East,West Berkshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.03
2020/21,South East,West Sussex,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.48
2020/21,South East,Windsor and Maidenhead,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.08
2020/21,South East,Wokingham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.05
2020/21,South West,Bath and North East Somerset,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.085
2020/21,South West,"Bournemouth, Christchurch and Poole",,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.24
2020/21,South West,"Bristol, City of",,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.415
2020/21,South West,Cornwall,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.25
2020/21,South West,Devon,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.71
2020/21,South West,Dorset,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.205
2020/21,South West,Gloucestershire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.3
2020/21,South West,North Somerset,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.075
2020/21,South West,Plymouth,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.26
2020/21,South West,Somerset,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.27
2020/21,South West,South Gloucestershire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.075
2020/21,South West,Swindon,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.13
2020/21,South West,Torbay,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.165
2020/21,South West,Wiltshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.19
2021/22,,,15 and under,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,0.117
2021/22,,,16 to 17,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,0.729
2021/22,,,18 to 19,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,2.006
2021/22,,,20 to 24,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,10.025
2021/22,,,25 to 34,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,21.309
2021/22,,,35 to 44,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,11.585
2021/22,,,45 and over,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,2.65
2021/22,,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,48.421
2021/22,North East,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,2.16
2021/22,North West,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,7.185
2021/22,Yorkshire and The Humber,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,4.53
2021/22,East Midlands,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,3.475
2021/22,West Midlands,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,2.75
2021/22,East of England,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,3.325
2021/22,London,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,15.24
2021/22,South East,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,5.64
2021/22,South West,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,3.25
2021/22,North East,County Durham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.05
2021/22,North East,Gateshead,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.14
2021/22,North East,Hartlepool,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.06
2021/22,North East,Middlesbrough,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.13
2021/22,North East,Newcastle upon Tyne,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.555
2021/22,North East,North Tyneside,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.165
2021/22,North East,Northumberland,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.195
2021/22,North East,Redcar and Cleveland,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.12
2021/22,North East,South Tyneside,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.155
2021/22,North East,Stockton-on-Tees,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.17
2021/22,North East,Sunderland,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.425
2021/22,North West,Blackburn with Darwen,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.055
2021/22,North West,Blackpool,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.15
2021/22,North West,Bolton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.415
2021/22,North West,Bury,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.13
2021/22,North West,Cheshire East,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.32
2021/22,North West,Cheshire West and Chester,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.24
2021/22,North West,Cumbria,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.285
2021/22,North West,Halton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.14
2021/22,North West,Knowsley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.17
2021/22,North West,Lancashire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,1.38
2021/22,North West,Liverpool,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.265
2021/22,North West,Manchester,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,1.045
2021/22,North West,Oldham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.185
2021/22,North West,Rochdale,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.19
2021/22,North West,Salford,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.4
2021/22,North West,Sefton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.425
2021/22,North West,St. Helens,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.225
2021/22,North West,Stockport,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.23
