Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,Value
2012/13,Met need (%),Greenwich,,Units,Percentage (%),14.05274115
2013/14,Met need (%),Greenwich,,Units,Percentage (%),14.77079796
2014/15,Met need (%),Greenwich,,Units,Percentage (%),18.18805765
2015/16,Met need (%),Greenwich,,Units,Percentage (%),21.00426649
2016/17,Met need (%),Greenwich,,Units,Percentage (%),23.84895661
2017/18,Met need (%),Greenwich,,Units,Percentage (%),21.8047635
2018/19,Met need (%),Greenwich,,Units,Percentage (%),20.65878192
2010/11,Number of people in treatment,Greenwich,,Units,Count,505
2011/12,Number of people in treatment,Greenwich,,Units,Count,480
2012/13,Number of people in treatment,Greenwich,,Units,Count,405
2013/14,Number of people in treatment,Greenwich,,Units,Count,435
2014/15,Number of people in treatment,Greenwich,,Units,Count,530
2015/16,Number of people in treatment,Greenwich,,Units,Count,640
2016/17,Number of people in treatment,Greenwich,,Units,Count,720
2017/18,Number of people in treatment,Greenwich,,Units,Count,650
2018/19,Number of people in treatment,Greenwich,,Units,Count,623
2018/19,Number of people in treatment,Greenwich,,Units,Count,625
2010/11,Estimated prevalence,Hackney,,Units,Number,3594
2011/12,Estimated prevalence,Hackney,,Units,Number,3588
2012/13,Estimated prevalence,Hackney,,Units,Number,3581
2013/14,Estimated prevalence,Hackney,,Units,Number,3724
2014/15,Estimated prevalence,Hackney,,Units,Number,3716
2015/16,Estimated prevalence,Hackney,,Units,Number,3623
2016/17,Estimated prevalence,Hackney,,Units,Number,3726
2017/18,Estimated prevalence,Hackney,,Units,Number,3654
2018/19,Estimated prevalence,Hackney,,Units,Number,3667.666667
2010/11,Met need (%),Hackney,,Units,Percentage (%),22.67668336
2011/12,Met need (%),Hackney,,Units,Percentage (%),13.37792642
2012/13,Met need (%),Hackney,,Units,Percentage (%),14.10220609
2013/14,Met need (%),Hackney,,Units,Percentage (%),15.84317938
2014/15,Met need (%),Hackney,,Units,Percentage (%),16.81916039
2015/16,Met need (%),Hackney,,Units,Percentage (%),16.97488269
2016/17,Met need (%),Hackney,,Units,Percentage (%),19.3236715
2017/18,Met need (%),Hackney,,Units,Percentage (%),17.24137931
2018/19,Met need (%),Hackney,,Units,Percentage (%),17.5315823
2010/11,Number of people in treatment,Hackney,,Units,Count,815
2011/12,Number of people in treatment,Hackney,,Units,Count,480
2012/13,Number of people in treatment,Hackney,,Units,Count,505
2013/14,Number of people in treatment,Hackney,,Units,Count,590
2014/15,Number of people in treatment,Hackney,,Units,Count,625
2015/16,Number of people in treatment,Hackney,,Units,Count,615
2016/17,Number of people in treatment,Hackney,,Units,Count,720
2017/18,Number of people in treatment,Hackney,,Units,Count,630
2018/19,Number of people in treatment,Hackney,,Units,Count,643
2018/19,Number of people in treatment,Hackney,,Units,Count,645
2010/11,Estimated prevalence,Halton,,Units,Number,1846
2011/12,Estimated prevalence,Halton,,Units,Number,1851
2012/13,Estimated prevalence,Halton,,Units,Number,1843
2013/14,Estimated prevalence,Halton,,Units,Number,1932
2014/15,Estimated prevalence,Halton,,Units,Number,1889
2015/16,Estimated prevalence,Halton,,Units,Number,1962
2016/17,Estimated prevalence,Halton,,Units,Number,2048
2017/18,Estimated prevalence,Halton,,Units,Number,2001
2018/19,Estimated prevalence,Halton,,Units,Number,2003.666667
2010/11,Met need (%),Halton,,Units,Percentage (%),24.64788732
2011/12,Met need (%),Halton,,Units,Percentage (%),24.31118314
2012/13,Met need (%),Halton,,Units,Percentage (%),30.11394466
2013/14,Met need (%),Halton,,Units,Percentage (%),30.79710145
2014/15,Met need (%),Halton,,Units,Percentage (%),24.08681842
2015/16,Met need (%),Halton,,Units,Percentage (%),20.89704383
2016/17,Met need (%),Halton,,Units,Percentage (%),18.79882813
2017/18,Met need (%),Halton,,Units,Percentage (%),19.74012994
2018/19,Met need (%),Halton,,Units,Percentage (%),19.66394943
2010/11,Number of people in treatment,Halton,,Units,Count,455
2011/12,Number of people in treatment,Halton,,Units,Count,450
2012/13,Number of people in treatment,Halton,,Units,Count,555
2013/14,Number of people in treatment,Halton,,Units,Count,595
2014/15,Number of people in treatment,Halton,,Units,Count,455
2015/16,Number of people in treatment,Halton,,Units,Count,410
2016/17,Number of people in treatment,Halton,,Units,Count,385
2017/18,Number of people in treatment,Halton,,Units,Count,395
2018/19,Number of people in treatment,Halton,,Units,Count,394
2018/19,Number of people in treatment,Halton,,Units,Count,395
2010/11,Estimated prevalence,Hammersmith and Fulham,,Units,Number,2528
2011/12,Estimated prevalence,Hammersmith and Fulham,,Units,Number,2507
2012/13,Estimated prevalence,Hammersmith and Fulham,,Units,Number,2508
2013/14,Estimated prevalence,Hammersmith and Fulham,,Units,Number,2607
2014/15,Estimated prevalence,Hammersmith and Fulham,,Units,Number,2583
2015/16,Estimated prevalence,Hammersmith and Fulham,,Units,Number,2451
2016/17,Estimated prevalence,Hammersmith and Fulham,,Units,Number,2428
2017/18,Estimated prevalence,Hammersmith and Fulham,,Units,Number,2524
2018/19,Estimated prevalence,Hammersmith and Fulham,,Units,Number,2467.666667
2010/11,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),21.16297468
2011/12,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),14.75867571
2012/13,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),17.14513557
2013/14,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),19.56271577
2014/15,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),19.55090979
2015/16,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),21.62382701
2016/17,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),22.03459638
2017/18,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),26.14896989
2018/19,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),24.51708767
2010/11,Number of people in treatment,Hammersmith and Fulham,,Units,Count,535
2011/12,Number of people in treatment,Hammersmith and Fulham,,Units,Count,370
2012/13,Number of people in treatment,Hammersmith and Fulham,,Units,Count,430
2013/14,Number of people in treatment,Hammersmith and Fulham,,Units,Count,510
2014/15,Number of people in treatment,Hammersmith and Fulham,,Units,Count,505
2015/16,Number of people in treatment,Hammersmith and Fulham,,Units,Count,530
2016/17,Number of people in treatment,Hammersmith and Fulham,,Units,Count,535
2017/18,Number of people in treatment,Hammersmith and Fulham,,Units,Count,660
2018/19,Number of people in treatment,Hammersmith and Fulham,,Units,Count,605
2010/11,Estimated prevalence,Hampshire,,Units,Number,9871
2011/12,Estimated prevalence,Hampshire,,Units,Number,9868
2012/13,Estimated prevalence,Hampshire,,Units,Number,9806
2013/14,Estimated prevalence,Hampshire,,Units,Number,10033
2014/15,Estimated prevalence,Hampshire,,Units,Number,9980
2015/16,Estimated prevalence,Hampshire,,Units,Number,10076
2016/17,Estimated prevalence,Hampshire,,Units,Number,10060
2017/18,Estimated prevalence,Hampshire,,Units,Number,10469
2018/19,Estimated prevalence,Hampshire,,Units,Number,10201.66667
2010/11,Met need (%),Hampshire,,Units,Percentage (%),13.72707932
2011/12,Met need (%),Hampshire,,Units,Percentage (%),17.68342116
2012/13,Met need (%),Hampshire,,Units,Percentage (%),17.18335713
2013/14,Met need (%),Hampshire,,Units,Percentage (%),12.06020134
2014/15,Met need (%),Hampshire,,Units,Percentage (%),13.37675351
2015/16,Met need (%),Hampshire,,Units,Percentage (%),7.145692735
2016/17,Met need (%),Hampshire,,Units,Percentage (%),10.33797217
2017/18,Met need (%),Hampshire,,Units,Percentage (%),11.51017289
2018/19,Met need (%),Hampshire,,Units,Percentage (%),13.98791047
2010/11,Number of people in treatment,Hampshire,,Units,Count,1355
2011/12,Number of people in treatment,Hampshire,,Units,Count,1745
2012/13,Number of people in treatment,Hampshire,,Units,Count,1685
2013/14,Number of people in treatment,Hampshire,,Units,Count,1210
2014/15,Number of people in treatment,Hampshire,,Units,Count,1335
2015/16,Number of people in treatment,Hampshire,,Units,Count,720
2016/17,Number of people in treatment,Hampshire,,Units,Count,1040
2017/18,Number of people in treatment,Hampshire,,Units,Count,1205
2018/19,Number of people in treatment,Hampshire,,Units,Count,1427.000003
2018/19,Number of people in treatment,Hampshire,,Units,Count,1425
2010/11,Estimated prevalence,Haringey,,Units,Number,3130
2011/12,Estimated prevalence,Haringey,,Units,Number,3156
2012/13,Estimated prevalence,Haringey,,Units,Number,3121
2013/14,Estimated prevalence,Haringey,,Units,Number,3198
2014/15,Estimated prevalence,Haringey,,Units,Number,3195
2015/16,Estimated prevalence,Haringey,,Units,Number,3256
2016/17,Estimated prevalence,Haringey,,Units,Number,3316
2017/18,Estimated prevalence,Haringey,,Units,Number,3055
2018/19,Estimated prevalence,Haringey,,Units,Number,3209
2010/11,Met need (%),Haringey,,Units,Percentage (%),23.96166134
2011/12,Met need (%),Haringey,,Units,Percentage (%),25.66539924
2012/13,Met need (%),Haringey,,Units,Percentage (%),23.38993912
2013/14,Met need (%),Haringey,,Units,Percentage (%),25.48467792
2014/15,Met need (%),Haringey,,Units,Percentage (%),25.03912363
2015/16,Met need (%),Haringey,,Units,Percentage (%),25.03071253
2016/17,Met need (%),Haringey,,Units,Percentage (%),23.67310012
2017/18,Met need (%),Haringey,,Units,Percentage (%),22.91325696
2018/19,Met need (%),Haringey,,Units,Percentage (%),18.44811468
2010/11,Number of people in treatment,Haringey,,Units,Count,750
2011/12,Number of people in treatment,Haringey,,Units,Count,810
2012/13,Number of people in treatment,Haringey,,Units,Count,730
2013/14,Number of people in treatment,Haringey,,Units,Count,815
2014/15,Number of people in treatment,Haringey,,Units,Count,800
2015/16,Number of people in treatment,Haringey,,Units,Count,815
2016/17,Number of people in treatment,Haringey,,Units,Count,785
2017/18,Number of people in treatment,Haringey,,Units,Count,700
2018/19,Number of people in treatment,Haringey,,Units,Count,592
2018/19,Number of people in treatment,Haringey,,Units,Count,595
2010/11,Estimated prevalence,Harrow,,Units,Number,1582
2011/12,Estimated prevalence,Harrow,,Units,Number,1578
2012/13,Estimated prevalence,Harrow,,Units,Number,1577
2013/14,Estimated prevalence,Harrow,,Units,Number,1615
2014/15,Estimated prevalence,Harrow,,Units,Number,1607
2015/16,Estimated prevalence,Harrow,,Units,Number,1596
2016/17,Estimated prevalence,Harrow,,Units,Number,1583
2017/18,Estimated prevalence,Harrow,,Units,Number,1674
2018/19,Estimated prevalence,Harrow,,Units,Number,1617.666667
2010/11,Met need (%),Harrow,,Units,Percentage (%),24.02022756
2011/12,Met need (%),Harrow,,Units,Percentage (%),25.66539924
2012/13,Met need (%),Harrow,,Units,Percentage (%),23.77932784
2013/14,Met need (%),Harrow,,Units,Percentage (%),28.48297214
2014/15,Met need (%),Harrow,,Units,Percentage (%),25.2022402
2015/16,Met need (%),Harrow,,Units,Percentage (%),22.24310777
2016/17,Met need (%),Harrow,,Units,Percentage (%),25.90018951
2017/18,Met need (%),Harrow,,Units,Percentage (%),20.01194743
2018/19,Met need (%),Harrow,,Units,Percentage (%),16.13434989
2010/11,Number of people in treatment,Harrow,,Units,Count,380
2011/12,Number of people in treatment,Harrow,,Units,Count,405
2012/13,Number of people in treatment,Harrow,,Units,Count,375
2013/14,Number of people in treatment,Harrow,,Units,Count,460
2014/15,Number of people in treatment,Harrow,,Units,Count,405
2015/16,Number of people in treatment,Harrow,,Units,Count,355
2016/17,Number of people in treatment,Harrow,,Units,Count,410
2017/18,Number of people in treatment,Harrow,,Units,Count,335
2018/19,Number of people in treatment,Harrow,,Units,Count,261
2018/19,Number of people in treatment,Harrow,,Units,Count,265
2010/11,Estimated prevalence,Hartlepool,,Units,Number,1187
2011/12,Estimated prevalence,Hartlepool,,Units,Number,1194
2012/13,Estimated prevalence,Hartlepool,,Units,Number,1192
2013/14,Estimated prevalence,Hartlepool,,Units,Number,1227
2014/15,Estimated prevalence,Hartlepool,,Units,Number,1226
2015/16,Estimated prevalence,Hartlepool,,Units,Number,1178
2016/17,Estimated prevalence,Hartlepool,,Units,Number,1281
2017/18,Estimated prevalence,Hartlepool,,Units,Number,1372
2018/19,Estimated prevalence,Hartlepool,,Units,Number,1277
2010/11,Met need (%),Hartlepool,,Units,Percentage (%),36.22577928
2011/12,Met need (%),Hartlepool,,Units,Percentage (%),39.36348409
2012/13,Met need (%),Hartlepool,,Units,Percentage (%),39.01006711
2013/14,Met need (%),Hartlepool,,Units,Percentage (%),38.71230644
2014/15,Met need (%),Hartlepool,,Units,Percentage (%),34.25774878
2015/16,Met need (%),Hartlepool,,Units,Percentage (%),33.95585739
2016/17,Met need (%),Hartlepool,,Units,Percentage (%),27.71272443
2017/18,Met need (%),Hartlepool,,Units,Percentage (%),23.32361516
2018/19,Met need (%),Hartlepool,,Units,Percentage (%),26.93813626
2010/11,Number of people in treatment,Hartlepool,,Units,Count,430
2011/12,Number of people in treatment,Hartlepool,,Units,Count,470
2012/13,Number of people in treatment,Hartlepool,,Units,Count,465
2013/14,Number of people in treatment,Hartlepool,,Units,Count,475
2014/15,Number of people in treatment,Hartlepool,,Units,Count,420
2015/16,Number of people in treatment,Hartlepool,,Units,Count,400
2016/17,Number of people in treatment,Hartlepool,,Units,Count,355
2017/18,Number of people in treatment,Hartlepool,,Units,Count,320
2018/19,Number of people in treatment,Hartlepool,,Units,Count,344
2018/19,Number of people in treatment,Hartlepool,,Units,Count,345
2010/11,Estimated prevalence,Havering,,Units,Number,2158
2011/12,Estimated prevalence,Havering,,Units,Number,2156
2012/13,Estimated prevalence,Havering,,Units,Number,2146
2013/14,Estimated prevalence,Havering,,Units,Number,2186
2014/15,Estimated prevalence,Havering,,Units,Number,2189
2015/16,Estimated prevalence,Havering,,Units,Number,2257
2016/17,Estimated prevalence,Havering,,Units,Number,2203
2017/18,Estimated prevalence,Havering,,Units,Number,2231
2018/19,Estimated prevalence,Havering,,Units,Number,2230.333333
2010/11,Met need (%),Havering,,Units,Percentage (%),13.43836886
2011/12,Met need (%),Havering,,Units,Percentage (%),14.61038961
2012/13,Met need (%),Havering,,Units,Percentage (%),17.47437092
2013/14,Met need (%),Havering,,Units,Percentage (%),20.58554437
2014/15,Met need (%),Havering,,Units,Percentage (%),19.41525811
2015/16,Met need (%),Havering,,Units,Percentage (%),19.93797076
2016/17,Met need (%),Havering,,Units,Percentage (%),20.65365411
2017/18,Met need (%),Havering,,Units,Percentage (%),23.30793366
2018/19,Met need (%),Havering,,Units,Percentage (%),21.0282469
2010/11,Number of people in treatment,Havering,,Units,Count,290
2011/12,Number of people in treatment,Havering,,Units,Count,315
2012/13,Number of people in treatment,Havering,,Units,Count,375
2013/14,Number of people in treatment,Havering,,Units,Count,450
2014/15,Number of people in treatment,Havering,,Units,Count,425
2015/16,Number of people in treatment,Havering,,Units,Count,450
2016/17,Number of people in treatment,Havering,,Units,Count,455
2017/18,Number of people in treatment,Havering,,Units,Count,520
2018/19,Number of people in treatment,Havering,,Units,Count,469
2018/19,Number of people in treatment,Havering,,Units,Count,470
2010/11,Estimated prevalence,"Herefordshire, County of",,Units,Number,1678
2011/12,Estimated prevalence,"Herefordshire, County of",,Units,Number,1677
2012/13,Estimated prevalence,"Herefordshire, County of",,Units,Number,1681
2013/14,Estimated prevalence,"Herefordshire, County of",,Units,Number,1693
2014/15,Estimated prevalence,"Herefordshire, County of",,Units,Number,1695
2015/16,Estimated prevalence,"Herefordshire, County of",,Units,Number,1654
2016/17,Estimated prevalence,"Herefordshire, County of",,Units,Number,1716
2017/18,Estimated prevalence,"Herefordshire, County of",,Units,Number,1713
2018/19,Estimated prevalence,"Herefordshire, County of",,Units,Number,1694.333333
2010/11,Met need (%),"Herefordshire, County of",,Units,Percentage (%),6.257449344
